"id","submitdate","lastpage","startlanguage","seed","Of1","Of2","Of3","Of4","Of5","Bf[b1]","Bf[b2]","Bf[b3]","Bf[b4]","Bf[b5]","Bf[b6]","Bf[b7]","Bf[b8]","If[i1]","If[i2]","If[i3]","If[i4]","If[i5]","If[b6]","If[b7]","If[b8]","Af[a1]","Af[a2]","Af[a3]","Af[a4]","Af[a5]","Af[a6]","Af[a7]","Af[a8]","Af[a9]","Af[a10]","Af[a11]","Af[a12]","Af[a13]","pwa1","finale"
"112","1980-01-01 00:00:00","5","de","1617609064","20","m","7","2","p","4","4","2","4","5","6","1","4","4","4","1","3","2","4","5","5","4","2","1","1","1","2","1","5","1","1","4","3","2","",""
"114","1980-01-01 00:00:00","5","de","341699909","20","m","7","2","p","2","3","1","2","3","6","3","4","2","2","1","2","4","3","3","4","3","1","1","1","7","1","1","5","3","1","4","2","1","",""
"116","1980-01-01 00:00:00","5","de","2094003062","25","w","6","2","p","5","6","5","6","2","6","2","2","5","6","5","5","1","5","5","6","5","5","1","3","2","3","1","7","3","1","2","4","5","",""
"117","1980-01-01 00:00:00","5","de","753036379","20","w","6","2","p","3","5","3","5","3","6","2","2","3","4","4","6","2","5","5","6","2","1","1","1","2","1","1","2","4","4","5","2","2","",""
"118","1980-01-01 00:00:00","5","de","734218198","23","w","7","2","p","3","4","2","4","4","6","3","4","2","2","2","2","1","4","4","4","2","4","1","2","2","1","1","3","3","2","2","2","3","",""
"119","1980-01-01 00:00:00","5","de","584047990","22","w","7","2","o","6","6","6","6","5","5","3","3","4","4","1","5","2","6","5","6","2","5","1","1","2","1","1","3","3","4","5","1","1","",""
"120","1980-01-01 00:00:00","5","de","1822274303","23","m","7","2","p","5","4","1","5","5","6","1","2","2","2","1","4","4","2","2","5","2","2","1","1","1","1","1","3","2","2","2","1","3","",""
"121","1980-01-01 00:00:00","5","de","1721503522","20","w","7","2","p","6","3","2","5","6","6","2","4","2","3","1","5","3","5","2","5","2","2","2","2","2","1","1","3","2","3","4","5","4","",""
"122","1980-01-01 00:00:00","5","de","932097991","21","w","7","4","o","6","6","5","6","5","5","5","6","5","6","4","4","3","5","6","6","6","6","4","5","6","4","5","5","5","6","6","7","6","",""
"123","1980-01-01 00:00:00","5","de","367831515","20","w","5","3","p","5","4","1","6","5","4","1","1","4","4","1","5","5","2","2","3","4","3","3","2","3","1","1","2","2","2","3","1","2","",""
"124","1980-01-01 00:00:00","5","de","111476042","25","w","1","7","p","","","","","","","","","1","5","1","6","5","4","3","3","2","4","1","1","1","1","1","2","5","1","2","2","3","",""
"125","1980-01-01 00:00:00","5","de","629639070","19","w","6","2","p","3","5","3","1","3","5","2","5","1","1","1","1","3","1","5","1","4","1","1","1","1","1","1","5","1","1","7","1","1","",""
"126","1980-01-01 00:00:00","5","de","960678257","21","w","2","2","p","2","3","2","6","4","3","4","3","1","3","2","5","4","5","3","5","5","5","3","3","4","2","1","6","2","6","4","4","7","",""
"127","1980-01-01 00:00:00","5","de","1980974987","20","w","7","4","p","6","6","6","6","6","6","3","1","6","6","6","6","6","6","3","2","4","5","2","2","3","6","6","2","7","6","2","2","4","",""

