"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsgeneratorstartwert","Wie alt bist du?","Mit welchem Geschlecht identifizierst du dich?","Denk an die letzten drei Monate zurück. Wie regelmäßig hast du ein BeReal hochgeladen? ","Denk an die letzten drei Monate zurück. Wie regelmäßig hast du ein Instagram Post hochgeladen? ","Hast du ein öffentliches oder privates Instagram-Konto? "," [Es ist mir wichtig, dass meine Follower wissen, wie mein Leben aussieht.]"," [Wenn ich etwas tolles erlebe, hoffe ich, dass ich es teilen kann.]"," [Ich ärgere mich, wenn ich etwas tolles erlebe, was ich nicht mehr posten kann.]"," [Meine Bilder repräsentieren mich und meine Persönlichkeit.]"," [Ich möchte Erlebnisse sofort festhalten, egal wie ich aussehe.]"," [Im Großteil meiner Bilder kann man mein Gesicht sehen.]"," [Ich habe ein Problem damit, ein für mich nicht perfektes Bild zu veröffentlichen. ]"," [Ich brauche durchschnittlich  mehr als ein Take, um ein Bild zu machen. ]"," [Es ist mir wichtig, dass meine Follower wissen, wie mein Leben aussieht.]"," [Wenn ich etwas tolles erlebe, hoffe ich, dass ich es teilen kann.]"," [Ich ärgere mich, wenn ich etwas tolles erlebe, was ich nicht mehr posten kann.]"," [Meine Bilder repräsentieren mich und meine Persönlichkeit.]"," [Ich möchte Erlebnisse sofort festhalten, egal wie ich aussehe.]"," [Im Großteil meiner Bilder kann man mein Gesicht sehen.]"," [Ich habe ein Problem damit, ein für mich nicht perfektes Bild zu veröffentlichen.]"," [Ich brauche durchschnittlich  mehr als ein Take, um ein Bild zu machen.]"," [Wenn Leute Fotos von mir machen, denke ich daran, wie ich aussehe, wenn die Bilder auf Social Media veröffentlicht werden.]"," [Ich denke darüber nach, wie bestimmte Teile meines Körpers aussehen werden, wenn die Leute meine Bilder in den sozialen Medien sehen.]"," [Selbst wenn ich allein bin, stelle ich mir vor, wie mein Körper auf einem Bild  auf Social Media aussehen würde.]"," [Tagsüber verbringe ich Zeit damit, darüber nachzudenken, wie attraktiv ich aussehe, wenn andere Leute Bilder von mir auf Social Media sehen.]"," [Ich versuche zu erraten, wie die Leute in den sozialen Medien auf meine körperliche Erscheinung auf meinen Bildern reagieren werden.]"," [Meine Attraktivität auf Bildern ist wichtiger als alles andere, was ich  auf Social Media tue.]"," [Wenn ich zu gesellschaftlichen Veranstaltungen gehe, ist es mir wichtiger, auf den Bildern, die die Leute auf Social Media posten könnten, attraktiv auszusehen, als mich zu amüsieren.]"," [Wenn ein unattraktives Bild von mir in den sozialen Medien gepostet wird, fühle ich mich nicht wohl in meiner Haut.]"," [Ich schaue mir immer wieder Bilder von mir auf Social Media an. ]"," [Ich zoome in Social-Media-Bilder, um zu sehen, wie bestimmte Teile meines Körpers aussehen.]"," [Wenn jemand ein Foto von mir macht, das in den sozialen Medien veröffentlicht werden könnte, bitte ich darum, es mir zuerst anzusehen, um sicherzustellen, dass ich gut aussehe.]"," [Bevor ich Bilder in sozialen Medien poste, schneide ich sie zu oder wende Filter an, um mich besser aussehen zu lassen.]"," [Wenn jemand ein Foto von mir macht, das  auf Social Media veröffentlicht werden könnte, stelle ich mich in eine bestimmte Pose, damit ich so attraktiv wie möglich aussehe. ]","Bitte folgenden Code kopieren (Strg + C) und/oder niederschreiben. Dieser ist für VP-Stunden notwendig.    Dieser Code ist ein sogenannter Hash. D.h. er wurde automatisch generiert und basiert auf einer Formel, mit der wir feststellen können, dass tatsächlich teilgenommen wurde. Er wird nicht mit der Befragung gespeichert, daher ist keine Zuordnung zwischen Studie und separater VP-Sundenseite möglich. ","Nachdem du den Code kopiert hast, drücke bitte auf ""Absenden"". Du wirst automatisch zur nächsten Umfrage weitergeleitet, wo du diesen Code eingeben kannst."
"75","","1","de","990029928","20","männlich","täglich","weniger als einmal monatlich","privates     (nur meine Follower können meine Beiträge sehen)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76","1980-01-01 00:00:00","5","de","2053511241","27","männlich","täglich","einmal monatlich","privates     (nur meine Follower können meine Beiträge sehen)","stimmt weitgehend nicht","stimmt weitgehend","stimmt völlig","stimmt völlig","stimmt eher","stimmt völlig","stimmt weitgehend nicht","stimmt gar nicht","stimmt gar nicht","stimmt weitgehend","stimmt völlig","stimmt eher","stimmt weitgehend nicht","stimmt eher nicht","stimmt weitgehend","stimmt völlig","stimmt eher","stimmt eher","stimmt weitgehend nicht","stimmt gar nicht","stimmt eher","stimmt weitgehend nicht","stimmt eher nicht","stimmt weitgehend nicht","stimmt weitgehend","stimmt weitgehend","stimmt eher","stimmt eher nicht","stimmt weitgehend","",""
"77","1980-01-01 00:00:00","5","de","1765017728","22","weiblich","mehrmals wöchentlich","mehrmals wöchentlich","öffentliches Konto     (meine Beiträge sind für alle Nutzer auf Instagram einsehbar, Standardeinstellung)","stimmt eher","stimmt eher","stimmt weitgehend","stimmt völlig","stimmt völlig","stimmt völlig","stimmt gar nicht","stimmt gar nicht","stimmt eher","stimmt weitgehend","stimmt eher","stimmt weitgehend","stimmt weitgehend","stimmt weitgehend","stimmt weitgehend nicht","stimmt eher","stimmt eher","stimmt eher","stimmt weitgehend nicht","stimmt gar nicht","stimmt weitgehend nicht","stimmt gar nicht","stimmt gar nicht","stimmt eher nicht","stimmt eher nicht","stimmt gar nicht","stimmt eher nicht","stimmt gar nicht","stimmt eher","",""
"78","1980-01-01 00:00:00","5","de","372408032","19","weiblich","mehrmals wöchentlich","weniger als einmal monatlich","privates     (nur meine Follower können meine Beiträge sehen)","stimmt eher","stimmt weitgehend","stimmt weitgehend","stimmt weitgehend","stimmt eher nicht","stimmt völlig","stimmt eher","stimmt eher","stimmt eher nicht","stimmt eher","stimmt eher","stimmt eher","stimmt eher nicht","stimmt weitgehend","stimmt weitgehend","stimmt weitgehend","stimmt eher","stimmt weitgehend","stimmt weitgehend nicht","stimmt eher nicht","stimmt eher","stimmt eher","stimmt gar nicht","stimmt weitgehend","stimmt eher","stimmt eher nicht","stimmt eher","stimmt weitgehend nicht","stimmt weitgehend","",""
"79","1980-01-01 00:00:00","5","de","1354466017","22","weiblich","mehrmals wöchentlich","weniger als einmal monatlich","privates     (nur meine Follower können meine Beiträge sehen)","stimmt eher nicht","stimmt eher","stimmt weitgehend","stimmt weitgehend","stimmt eher","stimmt weitgehend","stimmt eher nicht","stimmt eher nicht","stimmt gar nicht","stimmt gar nicht","stimmt eher","stimmt weitgehend","stimmt gar nicht","stimmt eher","stimmt eher","stimmt eher","stimmt weitgehend","stimmt völlig","stimmt eher nicht","stimmt eher nicht","stimmt eher","stimmt eher nicht","stimmt eher nicht","stimmt eher","stimmt eher","stimmt weitgehend","stimmt weitgehend","stimmt eher","stimmt weitgehend","",""
"80","","2","de","1448632498","22","keine Angabe","einmal wöchentlich","weniger als einmal monatlich","privates     (nur meine Follower können meine Beiträge sehen)","stimmt weitgehend nicht","stimmt eher","stimmt weitgehend nicht","stimmt eher","stimmt eher","stimmt eher nicht","stimmt weitgehend nicht","stimmt eher nicht","","","","","","","","","","","","","","","","","","","","","","",""
"81","1980-01-01 00:00:00","5","de","1901304003","21","weiblich","mehrmals wöchentlich","weniger als einmal monatlich","privates     (nur meine Follower können meine Beiträge sehen)","stimmt eher nicht","stimmt weitgehend","stimmt weitgehend","stimmt eher nicht","stimmt weitgehend nicht","stimmt weitgehend","stimmt eher nicht","stimmt weitgehend","stimmt weitgehend nicht","stimmt eher","stimmt eher nicht","stimmt eher","stimmt weitgehend nicht","stimmt gar nicht","stimmt eher nicht","stimmt weitgehend","stimmt weitgehend","stimmt völlig","stimmt eher nicht","stimmt eher nicht","stimmt eher","stimmt gar nicht","stimmt weitgehend nicht","stimmt völlig","stimmt weitgehend nicht","stimmt eher","stimmt völlig","stimmt eher nicht","stimmt eher","",""
"82","1980-01-01 00:00:00","5","de","518070961","23","männlich","mehrmals wöchentlich","mehrmals monatlich","privates     (nur meine Follower können meine Beiträge sehen)","stimmt weitgehend nicht","stimmt eher nicht","stimmt weitgehend nicht","stimmt völlig","stimmt eher nicht","stimmt eher nicht","stimmt weitgehend","stimmt weitgehend","stimmt eher nicht","stimmt eher nicht","stimmt eher nicht","stimmt völlig","stimmt eher nicht","stimmt eher","stimmt eher","stimmt weitgehend","stimmt weitgehend","stimmt weitgehend","stimmt eher","stimmt eher","stimmt eher nicht","stimmt eher","stimmt weitgehend nicht","stimmt eher","stimmt eher nicht","stimmt eher nicht","stimmt weitgehend","stimmt gar nicht","stimmt eher","",""
"83","","3","de","1659228104","23","nicht binär","mehrmals wöchentlich","weniger als einmal monatlich","privates     (nur meine Follower können meine Beiträge sehen)","stimmt weitgehend","stimmt weitgehend","stimmt weitgehend","stimmt eher","stimmt völlig","stimmt völlig","stimmt gar nicht","stimmt gar nicht","stimmt gar nicht","stimmt gar nicht","stimmt weitgehend nicht","stimmt weitgehend","stimmt weitgehend","stimmt völlig","stimmt eher nicht","stimmt weitgehend","","","","","","","","","","","","","","",""
"84","1980-01-01 00:00:00","5","de","479253347","23","weiblich","täglich","mehrmals monatlich","privates     (nur meine Follower können meine Beiträge sehen)","stimmt weitgehend","stimmt weitgehend","stimmt weitgehend","stimmt weitgehend","stimmt eher nicht","stimmt weitgehend","stimmt eher nicht","stimmt eher","stimmt eher","stimmt weitgehend","stimmt eher","stimmt eher nicht","stimmt eher nicht","stimmt weitgehend nicht","stimmt eher","stimmt weitgehend","stimmt völlig","stimmt völlig","stimmt eher nicht","stimmt eher nicht","stimmt eher","stimmt eher nicht","stimmt eher nicht","stimmt eher","stimmt eher","stimmt eher","stimmt weitgehend","stimmt eher nicht","stimmt eher","",""
"85","1980-01-01 00:00:00","5","de","1060684900","19","weiblich","mehrmals wöchentlich","weniger als einmal monatlich","privates     (nur meine Follower können meine Beiträge sehen)","stimmt eher nicht","stimmt völlig","stimmt weitgehend","stimmt eher","stimmt weitgehend","stimmt völlig","stimmt weitgehend nicht","stimmt eher nicht","stimmt weitgehend","stimmt weitgehend","stimmt weitgehend nicht","stimmt eher","stimmt weitgehend","stimmt weitgehend","stimmt weitgehend","stimmt weitgehend","stimmt weitgehend nicht","stimmt weitgehend","stimmt gar nicht","stimmt weitgehend nicht","stimmt eher","stimmt gar nicht","stimmt gar nicht","stimmt weitgehend","stimmt weitgehend","stimmt weitgehend","stimmt völlig","stimmt gar nicht","stimmt weitgehend nicht","",""
"86","1980-01-01 00:00:00","5","de","2128841785","24","weiblich","mehrmals wöchentlich","einmal monatlich","öffentliches Konto     (meine Beiträge sind für alle Nutzer auf Instagram einsehbar, Standardeinstellung)","stimmt eher nicht","stimmt eher","stimmt weitgehend nicht","stimmt weitgehend","stimmt weitgehend","stimmt völlig","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt eher","stimmt weitgehend nicht","stimmt eher","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt eher","stimmt weitgehend","stimmt weitgehend","stimmt weitgehend","stimmt eher nicht","stimmt eher nicht","stimmt eher nicht","stimmt gar nicht","stimmt gar nicht","stimmt eher","stimmt eher nicht","stimmt weitgehend","stimmt weitgehend","stimmt gar nicht","stimmt eher","",""
"87","1980-01-01 00:00:00","5","de","1655090244","20","männlich","täglich","weniger als einmal monatlich","privates     (nur meine Follower können meine Beiträge sehen)","stimmt eher","stimmt weitgehend","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt völlig","stimmt eher nicht","stimmt weitgehend nicht","stimmt eher nicht","stimmt eher","stimmt gar nicht","stimmt gar nicht","stimmt gar nicht","stimmt eher","stimmt weitgehend","stimmt weitgehend","stimmt weitgehend","stimmt weitgehend","stimmt weitgehend nicht","stimmt eher","stimmt gar nicht","stimmt gar nicht","stimmt gar nicht","stimmt weitgehend nicht","stimmt gar nicht","stimmt weitgehend nicht","stimmt eher","stimmt weitgehend nicht","stimmt gar nicht","",""
"88","","","de","1342684341","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89","1980-01-01 00:00:00","5","de","115383886","23","weiblich","täglich","einmal monatlich","privates     (nur meine Follower können meine Beiträge sehen)","stimmt weitgehend","stimmt völlig","stimmt eher","stimmt völlig","stimmt eher","stimmt völlig","stimmt weitgehend nicht","stimmt eher","stimmt eher nicht","stimmt eher","stimmt eher nicht","stimmt weitgehend","stimmt eher","stimmt weitgehend","stimmt eher","stimmt völlig","stimmt weitgehend","stimmt weitgehend","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt eher nicht","stimmt gar nicht","stimmt weitgehend nicht","stimmt eher","stimmt eher","stimmt weitgehend nicht","stimmt gar nicht","stimmt eher nicht","",""
"90","","","de","899336277","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"91","1980-01-01 00:00:00","5","de","1675825274","20","weiblich","mehrmals wöchentlich","weniger als einmal monatlich","privates     (nur meine Follower können meine Beiträge sehen)","stimmt eher","stimmt eher","stimmt weitgehend nicht","stimmt weitgehend","stimmt völlig","stimmt völlig","stimmt weitgehend nicht","stimmt gar nicht","stimmt weitgehend nicht","stimmt eher nicht","stimmt weitgehend nicht","stimmt eher","stimmt weitgehend","stimmt eher nicht","stimmt eher","stimmt eher","stimmt eher nicht","stimmt eher nicht","stimmt gar nicht","stimmt gar nicht","stimmt weitgehend nicht","stimmt gar nicht","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt gar nicht","stimmt gar nicht","stimmt eher","",""
"92","1980-01-01 00:00:00","5","de","656768991","22","männlich","mehrmals wöchentlich","einmal monatlich","öffentliches Konto     (meine Beiträge sind für alle Nutzer auf Instagram einsehbar, Standardeinstellung)","stimmt weitgehend nicht","stimmt eher nicht","stimmt eher","stimmt weitgehend","stimmt eher","stimmt eher","stimmt weitgehend nicht","stimmt eher nicht","stimmt weitgehend nicht","stimmt eher nicht","stimmt eher nicht","stimmt weitgehend","stimmt eher nicht","stimmt gar nicht","stimmt eher nicht","stimmt eher","stimmt weitgehend","stimmt eher nicht","stimmt gar nicht","stimmt eher nicht","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt weitgehend","stimmt eher","stimmt eher nicht","stimmt weitgehend","stimmt eher","stimmt eher","",""
"93","1980-01-01 00:00:00","5","de","508665040","19","weiblich","einmal wöchentlich","weniger als einmal monatlich","privates     (nur meine Follower können meine Beiträge sehen)","stimmt weitgehend","stimmt weitgehend","stimmt weitgehend","stimmt völlig","stimmt weitgehend","stimmt eher","stimmt weitgehend nicht","stimmt eher nicht","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt eher nicht","stimmt weitgehend","stimmt weitgehend","stimmt völlig","stimmt weitgehend","stimmt weitgehend","stimmt eher","stimmt weitgehend","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt gar nicht","stimmt gar nicht","stimmt eher","stimmt gar nicht","stimmt weitgehend","stimmt gar nicht","stimmt eher","stimmt gar nicht","",""
"94","1980-01-01 00:00:00","5","de","520635531","33","weiblich","weniger als einmal monatlich","weniger als einmal monatlich","privates     (nur meine Follower können meine Beiträge sehen)","stimmt gar nicht","stimmt eher nicht","stimmt eher nicht","stimmt eher","stimmt eher nicht","stimmt eher","stimmt eher","stimmt weitgehend","stimmt gar nicht","stimmt eher","stimmt eher nicht","stimmt weitgehend","stimmt weitgehend nicht","stimmt eher","stimmt eher","stimmt weitgehend","stimmt weitgehend","stimmt weitgehend","stimmt eher","stimmt eher","stimmt eher","stimmt weitgehend nicht","stimmt gar nicht","stimmt eher nicht","stimmt weitgehend nicht","stimmt eher nicht","stimmt eher nicht","stimmt eher","stimmt eher","",""
"95","1980-01-01 00:00:00","5","de","1265406479","23","nicht binär","mehrmals wöchentlich","mehrmals monatlich","öffentliches Konto     (meine Beiträge sind für alle Nutzer auf Instagram einsehbar, Standardeinstellung)","stimmt eher nicht","stimmt weitgehend","stimmt völlig","stimmt völlig","stimmt weitgehend","stimmt weitgehend nicht","stimmt gar nicht","stimmt weitgehend","stimmt weitgehend nicht","stimmt eher","stimmt gar nicht","stimmt völlig","stimmt gar nicht","stimmt weitgehend nicht","stimmt gar nicht","stimmt eher","stimmt weitgehend nicht","stimmt weitgehend","stimmt gar nicht","stimmt gar nicht","stimmt gar nicht","stimmt gar nicht","stimmt gar nicht","stimmt weitgehend nicht","stimmt gar nicht","stimmt gar nicht","stimmt eher","stimmt weitgehend nicht","stimmt gar nicht","",""
"96","1980-01-01 00:00:00","5","de","1520293667","22","männlich","mehrmals wöchentlich","weniger als einmal monatlich","privates     (nur meine Follower können meine Beiträge sehen)","stimmt eher","stimmt weitgehend","stimmt eher","stimmt eher","stimmt weitgehend","stimmt weitgehend","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt weitgehend nicht","stimmt eher nicht","stimmt gar nicht","stimmt eher nicht","stimmt gar nicht","stimmt weitgehend","stimmt eher nicht","stimmt weitgehend","stimmt weitgehend nicht","stimmt gar nicht","stimmt gar nicht","stimmt gar nicht","stimmt gar nicht","stimmt gar nicht","stimmt eher","stimmt weitgehend","stimmt gar nicht","stimmt weitgehend nicht","stimmt weitgehend","stimmt eher","stimmt eher nicht","",""
"97","1980-01-01 00:00:00","5","de","1388668215","21","weiblich","täglich","mehrmals monatlich","privates     (nur meine Follower können meine Beiträge sehen)","stimmt völlig","stimmt völlig","stimmt weitgehend","stimmt völlig","stimmt weitgehend","stimmt völlig","stimmt weitgehend","stimmt völlig","stimmt eher nicht","stimmt eher","stimmt eher","stimmt weitgehend","stimmt weitgehend nicht","stimmt völlig","stimmt eher","stimmt völlig","stimmt weitgehend","stimmt völlig","stimmt eher nicht","stimmt eher nicht","stimmt weitgehend","stimmt eher","stimmt gar nicht","stimmt völlig","stimmt eher","stimmt weitgehend","stimmt völlig","stimmt eher nicht","stimmt weitgehend","",""
